Isolate,ST,Replicate,OD600,OD570,reblanked OD,Normalized OD570,Month,day,year,expt
11,55,1,0.517,0.097,NA,0.18762089,1,8,2018,1
11,55,2,0.524,0.114,NA,0.217557252,1,8,2018,1
11,55,3,0.502,0.102,NA,0.203187251,1,8,2018,1
11,55,4,0.477,0.078,NA,0.163522013,1,8,2018,1
11,55,5,0.514,0.099,NA,0.192607004,1,8,2018,1
11,55,6,0.509,0.1,NA,0.196463654,1,8,2018,1
13,4,1,0.538,0.143,NA,0.265799257,1,8,2018,1
13,4,2,0.433,0.13,NA,0.300230947,1,8,2018,1
13,4,3,0.457,0.138,NA,0.301969365,1,8,2018,1
13,4,4,0.562,0.222,NA,0.395017794,1,8,2018,1
13,4,5,0.494,0.139,NA,0.281376518,1,8,2018,1
13,4,6,0.444,0.253,NA,0.56981982,1,8,2018,1
16,4,1,0.502,0.174,NA,0.346613546,1,8,2018,1
16,4,2,0.464,0.165,NA,0.355603448,1,8,2018,1
16,4,3,0.512,0.19,NA,0.37109375,1,8,2018,1
16,4,4,0.45,0.169,NA,0.375555556,1,8,2018,1
16,4,5,0.436,0.225,NA,0.516055046,1,8,2018,1
16,4,6,0.437,0.198,NA,0.453089245,1,8,2018,1
46,55,1,0.405,0.145,NA,0.358024691,1,8,2018,1
46,55,2,0.386,0.15,NA,0.388601036,1,8,2018,1
46,55,3,0.476,0.195,NA,0.409663866,1,8,2018,1
46,55,4,0.28,0.191,NA,0.682142857,1,8,2018,1
46,55,5,0.488,0.149,NA,0.305327869,1,8,2018,1
46,55,6,0.379,0.25,NA,0.659630607,1,8,2018,1
85,4,1,0.455,0.374,NA,0.821978022,1,8,2018,1
85,4,2,0.477,0.328,NA,0.687631027,1,8,2018,1
85,4,3,0.542,0.244,NA,0.450184502,1,8,2018,1
85,4,4,0.512,0.297,NA,0.580078125,1,8,2018,1
85,4,5,0.517,0.285,NA,0.551257253,1,8,2018,1
85,4,6,0.511,0.322,NA,0.630136986,1,8,2018,1
90,55,1,0.482,0.18,NA,0.373443983,1,8,2018,1
90,55,2,0.443,0.199,NA,0.449209932,1,8,2018,1
90,55,3,0.492,0.176,NA,0.357723577,1,8,2018,1
90,55,4,0.466,0.2,NA,0.429184549,1,8,2018,1
90,55,5,0.448,0.176,NA,0.392857143,1,8,2018,1
90,55,6,0.464,0.186,NA,0.400862069,1,8,2018,1
